"title","authors","year","publisher","abstract","url"
"Compositional chain-of-thought prompting for large multimodal models","C Mitra, B Huang, T Darrell…","2024","openaccess.thecvf.com","… JSON Format) of our SG generation prompt to evaluate whether enforcing a … generating
captions instead of SGs (refer to as LLaVA-1.5Caption-CoT). We find in Table 3 that generating …","http://openaccess.thecvf.com/content/CVPR2024/html/Mitra_Compositional_Chain-of-Thought_Prompting_for_Large_Multimodal_Models_CVPR_2024_paper.html"
"Enhancing multimodal compositional reasoning of visual language models with generative negative mining","U Sahin, H Li, Q Khan, D Cremers…","2024","openaccess.thecvf.com","… Our work tackles the limitations of existing visual language models in terms of compositional
reasoning between text and images. We proposed a data generation pipeline that …","https://openaccess.thecvf.com/content/WACV2024/html/Sahin_Enhancing_Multimodal_Compositional_Reasoning_of_Visual_Language_Models_With_Generative_WACV_2024_paper.html"
"Silmm: Self-improving large multimodal models for compositional text-to-image generation","L Qu, H Li, W Wang, X Liu, J Li…","2025","openaccess.thecvf.com","… multimodal generation [64]), compositional T2I in … generation, overlooking the potential of
RLAIF in other modalities. In contrast, we explore self-improving LMMs by activating multimodal …","https://openaccess.thecvf.com/content/CVPR2025/html/Qu_SILMM_Self-Improving_Large_Multimodal_Models_for_Compositional_Text-to-Image_Generation_CVPR_2025_paper.html"
"Evaluating compositional scene understanding in multimodal generative models","S Fu, AJ Lee, A Wang, I Momennejad, T Bihl…","2025","arXiv","The visual world is fundamentally compositional. Visual scenes are defined by the composition of objects and their relations. Hence, it is essential for computer vision systems to reflect and exploit this compositionality to achieve robust and generalizable scene understanding. While major strides have been made toward the development of general-purpose, multimodal generative models, including both text-to-image models and multimodal vision-language models, it remains unclear whether these systems are capable of accurately generating and interpreting scenes involving the composition of multiple objects and relations. In this work, we present an evaluation of the compositional visual processing capabilities in the current generation of text-to-image (DALL-E 3) and multimodal vision-language models (GPT-4V, GPT-4o, Claude Sonnet 3.5, QWEN2-VL-72B, and InternVL2.5-38B), and compare the performance of these systems to human participants. The results suggest that these systems display some ability to solve compositional and relational tasks, showing notable improvements over the previous generation of multimodal models, but with performance nevertheless well below the level of human participants, particularly for more complex scenes involving many ($>5$) objects and multiple relations. These results highlight the need for further progress toward compositional understanding of visual scenes.","https://arxiv.org/abs/2503.23125"
"Sequential compositional generalization in multimodal models","S Yagcioglu, OB Ince, A Erdem, E Erdem…","2024","arXiv","The rise of large-scale multimodal models has paved the pathway for groundbreaking advances in generative modeling and reasoning, unlocking transformative applications in a variety of complex tasks. However, a pressing question that remains is their genuine capability for stronger forms of generalization, which has been largely underexplored in the multimodal setting. Our study aims to address this by examining sequential compositional generalization using \textsc{CompAct} (\underline{Comp}ositional \underline{Act}ivities)\footnote{Project Page: \url{this http URL}}, a carefully constructed, perceptually grounded dataset set within a rich backdrop of egocentric kitchen activity videos. Each instance in our dataset is represented with a combination of raw video footage, naturally occurring sound, and crowd-sourced step-by-step descriptions. More importantly, our setup ensures that the individual concepts are consistently distributed across training and evaluation sets, while their compositions are novel in the evaluation set. We conduct a comprehensive assessment of several unimodal and multimodal models. Our findings reveal that bi-modal and tri-modal models exhibit a clear edge over their text-only counterparts. This highlights the importance of multimodality while charting a trajectory for future research in this domain.","https://arxiv.org/abs/2404.12013"
"Enhancing vision-language compositional understanding with multimodal synthetic data","H Li, B Li","2025","openaccess.thecvf.com","… -Language Models with proper compositional understanding. Synthesizing such training …
images for compositional learning presents three challenges: (1) efficiency in generating large …","https://openaccess.thecvf.com/content/CVPR2025/html/Li_Enhancing_Vision-Language_Compositional_Understanding_with_Multimodal_Synthetic_Data_CVPR_2025_paper.html"
"Improving context understanding in multimodal large language models via multimodal composition learning","W Li, H Fan, Y Wong, Y Yang…","2024","OpenReview","Previous efforts using frozen Large Language Models (LLMs) for visual understanding, via image captioning or image-text retrieval tasks, face challenges when dealing with complex multimodal scenarios. In order to enhance the capabilities of Multimodal Large Language Models (MLLM) in comprehending the context of vision and language, we introduce Multimodal Composition Learning (MCL) for the purpose of mapping or aligning the vision and language input. In particular, we introduce two tasks: Multimodal-Context Captioning (MC-Cap) and Multimodal-Context Retrieval (MC-Ret) to guide a frozen LLM in comprehending the vision and language context. These specialized tasks are crafted to improve the LLM’s capacity for efficient processing and utilization of multimodal inputs, thereby enhancing its proficiency in generating more accurate text or visual representations. Extensive experiments on both retrieval tasks (i.e., zero-shot composed image retrieval, visual storytelling image retrieval and visual dialog image retrieval) and text generation tasks (i.e., visual question answering) demonstrate the effectiveness of the proposed method. The code is available at: https://github.com/dhg-wei/MCL.","https://openreview.net/forum?id=Nm6jYZsBum"
"Compositional transformers for scene generation","D Arad Hudson, L Zitnick","2021","NeurIPS","… new structural losses for compositional scene generation. … make generative modeling more
compositional, interpretable … a more natural process of image generation, in which objects …","https://proceedings.neurips.cc/paper/2021/hash/4eff0720836a198b6174eecf02cbfdbf-Abstract.html"
"[HTML] When generative artificial intelligence meets multimodal composition: Rethinking the composition process through an AI-assisted design project","J Jiang","2024","Elsevier/ScienceDirect","This study explores the integration of generative artificial intelligence (GenAI) design
technologies, including Adobe Firefly and DALL·E, into the teaching and learning of multimodal …","https://www.sciencedirect.com/science/article/pii/S8755461524000598"
"Evaluating and improving compositional text-to-visual generation","B Li, Z Lin, D Pathak, J Li, Y Fei, K Wu…","2024","openaccess.thecvf.com","… Compositional text prompts of our GenAI-Bench (highlighted … control in text-to-visual generation.
For example, users might … the compositional reasoning capabilities of recent multimodal …","https://openaccess.thecvf.com/content/CVPR2024W/EvGenFM/html/Li_Evaluating_and_Improving_Compositional_Text-to-Visual_Generation_CVPRW_2024_paper.html"
