"title","authors","year","publisher","abstract","url"
"From psychological curiosity to artificial curiosity: Curiosity-driven learning in artificial intelligence tasks","C Sun, H Qian, C Miao","2022","arXiv","Psychological curiosity plays a significant role in human intelligence to enhance learning through exploration and information acquisition. In the Artificial Intelligence (AI) community, artificial curiosity provides a natural intrinsic motivation for efficient learning as inspired by human cognitive development; meanwhile, it can bridge the existing gap between AI research and practical application scenarios, such as overfitting, poor generalization, limited training samples, high computational cost, etc. As a result, curiosity-driven learning (CDL) has become increasingly popular, where agents are self-motivated to learn novel knowledge. In this paper, we first present a comprehensive review on the psychological study of curiosity and summarize a unified framework for quantifying curiosity as well as its arousal mechanism. Based on the psychological principle, we further survey the literature of existing CDL methods in the fields of Reinforcement Learning, Recommendation, and Classification, where both advantages and disadvantages as well as future work are discussed. As a result, this work provides fruitful insights for future CDL research and yield possible directions for further improvement.","https://arxiv.org/abs/2201.08300"
"Curiosity-driven AI for Science: Automated Discovery of Self-Organized Structures","M Etcheverry","2023","theses.hal.science","Complex systems are very hard to predict and control due to their chaotic dynamics and open-ended outcomes. However, understanding and harnessing the underlying mechanisms of these systems hold great promise for revolutionizing many areas of science. While considerable progress has been made in manipulating and measuring system activity down to the lowest level, there remains a fundamental gap between our knowledge at the micro-level and our ability to control resulting properties on a global scale. Modern machine learning tools offer promising avenues for assisting scientists in navigating the vast space of possible outcomes, especially when aiming for novel or challenging morphological or functional objectives. Nevertheless, current methods tend to constrain and bias the range of events that AI can measure and attempt to influence. This thesis aims to transpose and advance recent computational models of intrinsically motivated learning and exploration with the goal of designing more open-ended forms of AI ""discovery assistants"" for assisting scientists in mapping the outcome space of self-organizing systems. To that end, several key ingredients are introduced to efficiently shape the discovery process. These include the use of unsupervised learning for representations, meta-diversity search, curriculum learning, and external human guidance, whether environment-based or preference-based. We discuss how these components, when implemented in practice, can help address challenging problems in science. These challenges encompass the search for interesting patterns in continuous models of cellular automata, the investigation of the origins of sensorimotor agency, the exploration of gene regulatory networks behavioral capabilities, and the design of innovative forms of cellular collectives for applications in AI and biology.","https://theses.hal.science/tel-04395833/"
"Curiosity-driven learning in artificial intelligence and its applications","C Sun","2023","dr.ntu.edu.sg","The integration of neural structures and bio-functionality into machine learning (ML) models is an emerging trend that aims to develop human-level artificial intelligence, enabling intelligent agents to learn efficiently and perform better. Curiosity, as a fundamental element of human cognition, is an important intrinsic motivation that drives human intelligence to seek interesting information and explore the world. Incorporating curiosity into computational frameworks is of great significance, as artificial curiosity provides a natural intrinsic motivation for efficient learning, bridging the gap between ML research and practical application scenarios, such as overfitting, poor generalization, limited training samples, low sample efficiency, multi-skill offline learning, and high computational costs. Firstly, a systematic review of existing curiosity-driven learning methods in the fields of Reinforcement Learning (RL), Recommendation, and Classification has identified that curiosity-driven learning has become increasingly popular with more challenging tasks to be addressed, where agents are self-motivated to learn novel knowledge. Secondly, to address the challenges of learning directly from high-dimensional observations in online RL, we propose a model-agnostic contrastive-curiosity-driven learning framework (CCLF). CCLF fully exploits sample importance and improves learning efficiency in a self-supervised manner through contrastive curiosity. This method prioritizes the experience replay, selects the most informative augmented inputs, and regularizes the Q-function and encoder to concentrate more on under-learned data. It also encourages the agent to explore with a curiosity-based reward. As a result, the agent can focus on more informative samples and learn representation invariances more efficiently, with significantly reduced augmented inputs. CCLF is designed to integrate with different RL algorithms and architectures seamlessly. It does not impose strict constraints on the underlying RL method, allowing it to be applied alongside a wide range of RL approaches. Thirdly, for offline RL in a multi-task setting, we propose a curiosity-driven unsupervised data collection (CUDC) method that expands the feature space using adaptive temporal distances for task-agnostic data collection. CUDC estimates the probability of the $k$-step future states being reachable from the current states and adapts how many steps into the future the dynamics model should predict. With this adaptive reachability mechanism, the feature representation can be diversified, and the agent can navigate itself to collect higher-quality data with curiosity. The collected dataset helps the offline RL agents perform multi-task learning more efficiently, improving their overall learning capabilities. Fourthly, we also propose a curiosity-driven single-hidden-layer feedforward neural network (CD-SLFN) to improve online sequential classification problems. Based on the psychological theory of human curiosity, the artificial curiosity is computationally defined and is integrated into a regularized SLFN to encourage curiosity-driven online learning. The proposed model can actively select the most representative data in a sequential manner and flexibly adapt the model complexity to avoid overfitting. Compared to other online classifiers, the proposed classifier with intrinsic motivation has superior generalization ability, especially in the early learning phase with limited data. The analysis conducted in this thesis demonstrates the feasibility and effectiveness of introducing curiosity-driven learning in various RL problems and online classification task. This approach promotes the development of artificial intelligence applications with more human-like behaviors.","https://dr.ntu.edu.sg/handle/10356/172831"
"Curiosity-driven exploration: Diversity of mechanisms and functions","A Ten, PY Oudeyer, C Moulin-Frier","2021","books.google.com","""In this chapter we discuss the psychological function of ""the drive for sense-making,"" or our innate desire to make sense of the world. We start by discussing why sense-making generates a drive, similar to those associated with the primary reinforcers of food, water, sleep, sex, shelter, and air. In our account, the drive for sense-making fills a critical gap in purely goal-oriented cognition by motivating us to continue investing in knowledge even when we cannot foresee exactly how it will benefit us. We then examine three different factors that shape the particular form sense-making takes: (1) the practical utility of holding accurate beliefs for attaining concrete goals, (2) the motivational significance of some beliefs, which generates a desire to make sense of the world in a way that feels good, and (3) the impact of computational limitations on the sense-making process, especially our limited ability to explicitly predict what information will turn out to be useful. Finally, we turn our attention to how these factors help to explain aberrant sense-making phenomena such as conspiracy theories, science denial, and political polarization""--","https://books.google.com/books?hl=en&lr=&id=5rZpEAAAQBAJ&oi=fnd&pg=PA53&dq=curiosity+driven+AI+exploration&ots=j17JE_IAT4&sig=iBZkoi9BOPi2JfY0q_7-J79JHQk"
"Curiosity-driven exploration via latent bayesian surprise","P Mazzaglia, O Catal, T Verbelen…","2022","AAAI","… We focus on exploration bonuses to incentivize exploration in RL. To foster the reader’s
understanding, we first introduce standard notation and common practices. Markov Decision …","https://ojs.aaai.org/index.php/AAAI/article/view/20743"
"[BOOK] The worlds I see: Curiosity, exploration, and discovery at the dawn of AI","FF Li","2023","books.google.com","ONE OF BARACK OBAMA'S RECOMMENDED BOOKS ON AI * FINANCIAL TIMES BEST BOOKS OF 2023From Dr. Fei-Fei Li, one of TIME's 100 MOST INFLUENTIAL in AI, comes ""a powerful plea for keeping humanity at the centre of our latest technological transformation"" (Financial Times).Wired called Dr. Fei-Fei Li “one of a tiny group of scientists—a group perhaps small enough to fit around a kitchen table—who are responsible for AI’s recent remarkable advances.”Known to the world as the creator of ImageNet, a key catalyst of modern artificial intelligence, Dr. Li has spent more than two decades at the forefront of the field. But her career in science was improbable from the start. As immigrants, her family faced a difficult transition from China’s middle class to American poverty. And their lives were made all the harder as they struggled to care for her ailing mother, who was working tirelessly to help them all gain a foothold in their new land.Fei-Fei’s adolescent knack for physics endured, however, and positioned her to make a crucial contribution to the breakthrough we now call AI, placing her at the center of a global transformation. Over the last decades, her work has brought her face-to-face with the extraordinary possibilities—and the extraordinary dangers—of the technology she loves.The Worlds I See is a story of science in the first person, documenting one of the century’s defining moments from the inside. It provides a riveting story of a scientist at work and a thrillingly clear explanation of what artificial intelligence actually is—and how it came to be. Emotionally raw and intellectually uncompromising, this book is a testament not only to the passion required for even the most technical scholarship but also to the curiosity forever at its heart.","https://books.google.com/books?hl=en&lr=&id=6BmhEAAAQBAJ&oi=fnd&pg=PT332&dq=curiosity+driven+AI+exploration&ots=z2m2EFJ5Fh&sig=_gxeWqcMsRiFdtZl4TmLIIY4Mqc"
"Understanding exploration in humans and machines by formalizing the function of curiosity","R Dubey, TL Griffiths","2020","Elsevier/ScienceDirect","… Psychological theories of curiosity have also … of curiosity, which requires thinking about
the abstract computational problem that both humans and machines face as they explore their …","https://www.sciencedirect.com/science/article/pii/S2352154620301108"
"Humans monitor learning progress in curiosity-driven exploration","A Ten, P Kaushik, PY Oudeyer, J Gottlieb","2021","Nature","Curiosity-driven learning is foundational to human cognition. By enabling humans to autonomously decide when and what to learn, curiosity has been argued to be crucial for self-organizing temporally extended learning curricula. However, the mechanisms driving people to set intrinsic goals, when they are free to explore multiple learning activities, are still poorly understood. Computational theories propose different heuristics, including competence measures (e.g., percent correct) and learning progress, that could be used as intrinsic utility functions to efficiently organize exploration. Such intrinsic utilities constitute computationally cheap but smart heuristics to prevent people from laboring in vain on unlearnable activities, while still motivating them to self-challenge on difficult learnable activities. Here, we provide empirical evidence for these ideas by means of a free-choice experimental paradigm and computational modeling. We show that while humans rely on competence information to avoid easy tasks, models that include a learning-progress component provide the best fit to task selection data. These results bridge the research in artificial and biological curiosity, reveal strategies that are used by humans but have not been considered in computational research, and introduce tools for probing how humans become intrinsically motivated to learn and acquire interests and skills on extended time scales.","https://www.nature.com/articles/s41467-021-26196-w"
"Episodic multi-agent reinforcement learning with curiosity-driven exploration","L Zheng, J Chen, J Wang, J He, Y Hu…","2021","NeurIPS","… multi-agent curiosity-driven exploration method. Curiosity is a type of intrinsic motivation
for exploration, which … With each agent i selecting an action ai ∈ A, the joint action a ≡ [ai]n …","https://proceedings.neurips.cc/paper_files/paper/2021/hash/1e8ca836c962598551882e689265c1c5-Abstract.html"
"[HTML] Curiosity and the dynamics of optimal exploration","F Poli, JX O'Reilly, RB Mars, S Hunnius","2024","cell.com","… the cognitive and brain mechanisms underlying curiosity and exploration has grown
exponentially in recent years, across cognitive (neuro)science [8], artificial intelligence [9], as well as …","https://www.cell.com/trends/cognitive-sciences/fulltext/S1364-6613(24)00028-7?dgcid=raven_jbs_etoc_email"
