"title","authors","year","publisher","abstract","url"
"[HTML] Artificial Intelligence and the creative process: Does AI-creativity extend beyond divergent thinking?","C Byrge, EE Guzik, C Gilde","2025","Elsevier/ScienceDirect","… of Artificial Intelligence (AI) on divergent thinking tasks, there is currently insufficient research
and understanding of how AI performs on convergent thinking … means of researching AI’s …","https://www.sciencedirect.com/science/article/pii/S2713374525000123"
"Best humans still outperform artificial intelligence in a creative divergent thinking task","M Koivisto, S Grassini","2023","Nature","Creativity has traditionally been considered an ability exclusive to human beings. However, the rapid development of artificial intelligence (AI) has resulted in generative AI chatbots that can produce high-quality artworks, raising questions about the differences between human and machine creativity. In this study, we compared the creativity of humans (n = 256) with that of three current AI chatbots using the alternate uses task (AUT), which is the most used divergent thinking task. Participants were asked to generate uncommon and creative uses for everyday objects. On average, the AI chatbots outperformed human participants. While human responses included poor-quality ideas, the chatbots generally produced more creative responses. However, the best human ideas still matched or exceed those of the chatbots. While this study highlights the potential of AI as a tool to enhance creativity, it also underscores the unique and complex nature of human creativity that may be difficult to fully replicate or surpass with AI technology. The study provides insights into the relationship between human and machine creativity, which is related to important questions about the future of creative work in the age of AI.","https://www.nature.com/articles/s41598-023-40858-3"
"A study on generative design reasoning and students' divergent and convergent thinking","A Brown, MH Goldstein, J Clay…","2024","asmedigitalcollection.asme.org","… analytic and inventive in incorporating artificial intelligence (AI) approaches to design, eg, …
quantitative analysis of the divergent thinking and convergent thinking tests and the qualitative …","https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/146/3/031405/1194687"
"Human creativity in the age of llms: Randomized experiments on divergent and convergent thinking","H Kumar, J Vincentius, E Jordan…","2025","ACM","… Although the long-term effects of Generative AI use has been … Generative AI tools on our
convergent and divergent thinking … of creativity (divergent and convergent thinking) together for …","https://dl.acm.org/doi/abs/10.1145/3706598.3714198"
"Computational creativity: an investigation in stimulating human creativity with artificial intelligence in divergent thinking tasks/submitted by Erhan Elik","E Elik","2023","unipub.uni-graz.at","Hochschulschriften. Computational creativity : an investigation in stimulating human creativity with artificial intelligence in divergent thinking tasks / submitted by Erhan Elik. Graz, 2023","http://unipub.uni-graz.at/obvugrhs/8694098"
"Creativity: Fostering Divergent Thinking","ME De Carlo, P Limone","2025","books.google.com","This edited book collects a selection of the best papers submitted for the Artificial Creativity: Looking at the Future of Digital Culture meeting held in Milan, Italy in June of 2024. The chapters cover the effects of technology on the arts including the narrative, visual, and auditory. This book revisits the notion of what can be considered creative, artistic, and consequently an expression of our culture. It appeals to students and researchers and reveals how the field of ‘creative practice research’ is constantly shaped by the emergence of new technologies, especially “intelligent” technologies such as AI and machine learning.","https://books.google.com/books?hl=en&lr=&id=to9qEQAAQBAJ&oi=fnd&pg=PA96&dq=divergent+thinking+convergent+thinking+AI&ots=LjRekdqx0m&sig=t8x6GBj-kmVHvK9g2S1iMJkJTIs"
"The current state of artificial intelligence generative language models is more creative than humans on divergent thinking tasks","KF Hubert, KN Awa, DL Zabelina","2024","Nature","The emergence of publicly accessible artificial intelligence (AI) large language models such as ChatGPT has given rise to global conversations on the implications of AI capabilities. Emergent research on AI has challenged the assumption that creative potential is a uniquely human trait thus, there seems to be a disconnect between human perception versus what AI is objectively capable of creating. Here, we aimed to assess the creative potential of humans in comparison to AI. In the present study, human participants (N = 151) and GPT-4 provided responses for the Alternative Uses Task, Consequences Task, and Divergent Associations Task. We found that AI was robustly more creative along each divergent thinking measurement in comparison to the human counterparts. Specifically, when controlling for fluency of responses, AI was more original and elaborate. The present findings suggest that the current state of AI language models demonstrate higher creative potential than human respondents.","https://www.nature.com/articles/s41598-024-53303-w"
"Using Generative AI Midjourney to enhance divergent and convergent thinking in an architect's creative design process","L Tan, M Luhrs","2024","Taylor & Francis","… divergent-convergent framework to explore the creative cognition of architectural designers
when using AI … This enabled us to push our divergent thinking even further, going beyond our …","https://www.tandfonline.com/doi/abs/10.1080/14606925.2024.2353479"
"AI and the Learning Experience Design: From Divergent Creativity to Convergent Precision","B Czerkawski","2025","Springer","In the rapidly evolving landscape of higher education, we are witnessing an unprecedented surge in the use of Artificial Intelligence (AI). This rapid surge necessitates a thorough exploration of how faculty members, instructional designers, and researchers adopt AI, especially GenAI, using learning design practices. The present research study delves into college faculty's utilization of AI tools, aiming to examine their AI use and the technology integration approaches they employ to craft learning experiences, ranging from broader integration strategies that foster creativity (i.e., divergent) to more specific strategies ones (i.e., convergent) that target a particular learning goal. The study's findings show that while both design strategies are used when incorporating GenAI in education settings, the divergent strategies were significantly more prevalent. These findings have practical implications for faculty members, instructional designers, and researchers, providing actionable insights into the divergent and convergent strategies for incorporating GenAI in education settings for meaningful learning. This research underscores the crucial role of faculty members, instructional designers, and researchers in successfully integrating AI into higher education.","https://link.springer.com/article/10.1007/s11528-024-01032-2"
"The interplay of cognitive and personal attributes in shaping divergent thinking: Mediating role of teaching behaviour and moderating effect of AI adoption","EY Putri, I Saputra, W Afnison, R Oktarina…","2025","Springer","The integration of artificial intelligence (AI) in education transforms teaching and learning, yet its role in fostering creativity, particularly divergent thinking, remains underexplored. This study examines the influence of cognitive attributes on divergent thinking, with teaching behavior as a mediator and AI adoption as a moderator, aiming to optimize learning environments and address gaps in existing literature. This study employs a quantitative approach using Structural Equation Modeling-Partial Least Squares (SEM-PLS) to analyze data from 534 university students across Indonesia, selected through stratified random sampling. Data were collected via validated questionnaires adopted from previous studies. The analysis includes reliability, validity tests, structural model evaluation, and hypothesis testing using bootstrapping. The results of the study highlight the significant influence of AI adoption on divergent thinking, with flexibility and curiosity emerging as crucial factors in this process. Mediation analysis further reveals that both curiosity and flexibility positively mediate divergent thinking through teaching behavior. Additionally, the moderation effects suggest that AI adoption strengthens the relationship between flexibility, thinking style, and divergent thinking. These findings underscore the pivotal role of AI adoption and individual characteristics in fostering divergent thinking. This study highlights the critical role of AI adoption and teaching behavior in fostering divergent thinking. It emphasizes developing cognitive traits like curiosity and flexibility through interactive methods and leveraging AI for creative growth. Future research is encouraged to explore additional mediating variables and examine the interaction between cognitive traits and AI adoption across cultural, institutional, and disciplinary contexts, using behavioral indicators to improve model validity.","https://link.springer.com/article/10.1007/s10639-025-13652-z"
"The effects of generative ai on design fixation and divergent thinking","S Wadinambiarachchi, RM Kelly, S Pareek…","2024","ACM","… AI text generators can be used as a tool to define specific problems to solve and promote
convergent and divergent thinking [72] and have the potential to be used as a co-creative …","https://dl.acm.org/doi/abs/10.1145/3613904.3642919"
"A new method for training creativity: narrative as an alternative to divergent thinking","A Fletcher, M Benveniste","2022","Wiley","… in divergent thinking's logical partner: convergent thinking. A … in divergent thinking can boost
aptitude at divergent thinking … that computer AI can scale divergent thinking without scaling …","https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1111/nyas.14763"
"Divergent thinking is linked with convergent thinking; implications for models of creativity","BS Rawlings, D Chetwynd-Talbot, E Husband…","2025","Taylor & Francis","… The ability to colonise the planet, develop biomedicine, and invent artificial intelligence is a
… well on a measure of divergent thinking, our data suggests that convergent thinking is a key …","https://www.tandfonline.com/doi/abs/10.1080/13546783.2025.2485059"
