"title","authors","year","publisher","abstract","url"
"Compositional tools based on artificial intelligence for choral artistic education: Enhancing creative skills in choral arrangements","L Zhang","2025","Elsevier/ScienceDirect","… AI into the traditional academic curriculum on the development of choral arrangement musical
skills and creative … The evaluation utilized the Creative Skills Assessment Scale and a …","https://www.sciencedirect.com/science/article/pii/S1871187125000173"
"Ensemble learning for AI developers","A Kumar, J Mayank","2020","Springer","This book covers ensemble learning techniques and models to help improve your machine learning results. It includes best practices, tips, and sample code in scripts and the IPython notebook. Less math and more programming-friendly abstractions are presented to make it easier to learn.","https://link.springer.com/content/pdf/10.1007/978-1-4842-5940-5.pdf"
"Artificial intelligence in the creative industries: a review","N Anantrasirichai, D Bull","2022","Springer","This paper reviews the current state of the art in artificial intelligence (AI) technologies and applications in the context of the creative industries. A brief background of AI, and specifically machine learning (ML) algorithms, is provided including convolutional neural networks (CNNs), generative adversarial networks (GANs), recurrent neural networks (RNNs) and deep Reinforcement Learning (DRL). We categorize creative applications into five groups, related to how AI technologies are used: (i) content creation, (ii) information analysis, (iii) content enhancement and post production workflows, (iv) information extraction and enhancement, and (v) data compression. We critically examine the successes and limitations of this rapidly advancing technology in each of these areas. We further differentiate between the use of AI as a creative tool and its potential as a creator in its own right. We foresee that, in the near future, ML-based AI will be adopted widely as a tool or collaborative assistant for creativity. In contrast, we observe that the successes of ML in domains with fewer constraints, where AI is the ‘creator’, remain modest. The potential of AI (or its developers) to win awards for its original creations in competition with human creatives is also limited, based on contemporary technologies. We therefore conclude that, in the context of creative industries, maximum benefit from AI will be derived where its focus is human-centric—where it is designed to augment, rather than replace, human creativity.","https://link.springer.com/article/10.1007/s10462-021-10039-7"
"Human-AI ensembles: When can they work?","V Choudhary, A Marchetti, YR Shrestha…","2025","journals.sagepub.com","… -based Artificial Intelligence (AI) as well as on human decision-making to propose
conditions under which human-AI ensembles can be useful. We argue that human and AI-based …","https://journals.sagepub.com/doi/abs/10.1177/01492063231194968"
"A review of ensemble methods used in ai applications","P Gupta, A Pratap Singh, V Kumar","2022","Springer","This study focuses to examine the employ of ensemble methods for improving generalization performance which is the most important in the recent study of machine learning. Ensemble learning combines numerous models and deep learning (DL) models with multi-layered ones and also outperforms deep or classic classification models in terms of performance. Deep ensemble learning methods combine the merits of both ensemble learning and the DL models so that the overall result has better performance. This review analyzes current deep ensemble models and provides a comprehensive overview as Bagging, boosting, and stacking are examples of ensemble models. The negative correlation-based deep ensemble models are explicit or implicit ensembles, homogeneous or heterogeneous ensembles, decision fusion strategies, un-supervised, semi-supervised, reinforcement learning, internet, and multilevel featured ensemble models. Deep ensemble models are used in many fields. The author reviews the recent advancement in ensemble deep learning methods and formulates the research objective at the end of this work and future recommendations.","https://link.springer.com/chapter/10.1007/978-981-99-5080-5_13"
"[HTML] An AI-application-oriented in-class teaching evaluation model by using statistical modeling and ensemble learning","J Guo, L Bai, Z Yu, Z Zhao, B Wan","2021","mdpi.com","In-class teaching evaluation, which is utilized to assess the process and effect of both teachers’ teaching and students’ learning in a classroom environment, plays an increasingly crucial role in supervising and promoting education quality. With the rapid development of artificial intelligence (AI) technology, the concept of smart education has been constantly improved and gradually penetrated into all aspects of education application. Considering the dominant position of classroom teaching in elementary and undergraduate education, the introduction of AI technology into in-class teaching evaluation has become a research hotspot. In this paper, we propose a statistical modeling and ensemble learning-based comprehensive model, which is oriented towards in-class teaching evaluation by using AI technologies such as computer vision (CV) and intelligent speech recognition (ISR). Firstly, we present an index system including a set of teaching evaluation indicators combining traditional assessment scales with new values derived from CV and ISR-based AI analysis. Next, we design a comprehensive in-class teaching evaluation model by using both the analytic hierarchy process-entropy weight (AHP-EW) and AdaBoost-based ensemble learning (AdaBoost-EL) methods. Experiments not only demonstrate that the two modules in the model are respectively applicable to the calculation of indicators with different characteristics, but also verify the performance of the proposed model for AI-based in-class teaching evaluation. In this comprehensive in-class evaluation model, for students’ concentration and participation, ensemble learning module is chosen with less root mean square error (RMSE) of 8.318 and 9.375. In addition, teachers’ media usage and teachers’ type evaluated by statistical modeling module approach higher accuracy with 0.905 and 0.815. Instead, the ensemble learning approaches the accuracy of 0.73 in evaluating teachers’ style, which performs better than the statistical modeling module with the accuracy of 0.69.","https://www.mdpi.com/1424-8220/21/1/241"
"Design considerations for real-time collaboration with creative artificial intelligence","J McCormack, P Hutchings, T Gifford, M Yee-King…","2020","Cambridge University Press","Machines incorporating techniques from artificial intelligence and machine learning can work with human users on a moment-to-moment, real-time basis to generate creative outcomes, performances and artefacts. We define such systems collaborative, creative AI systems, and in this article, consider the theoretical and practical considerations needed for their design so as to support improvisation, performance and co-creation through real-time, sustained, moment-to-moment interaction. We begin by providing an overview of creative AI systems, examining strengths, opportunities and criticisms in order to draw out the key considerations when designing AI for human creative collaboration. We argue that the artistic goals and creative process should be first and foremost in any design. We then draw from a range of research that looks at human collaboration and teamwork, to examine features that support trust, cooperation, shared awareness and a shared information space. We highlight the importance of understanding the scope and perception of two-way communication between human and machine agents in order to support reflection on conflict, error, evaluation and flow. We conclude with a summary of the range of design challenges for building such systems in provoking, challenging and enhancing human creative activity through their creative agency.","https://www.cambridge.org/core/journals/organised-sound/article/design-considerations-for-realtime-collaboration-with-creative-artificial-intelligence/D14EFAAB865FF356E475353C75245CE2"
"How AI ideas affect the creativity, diversity, and evolution of human ideas: evidence from a large, dynamic experiment","J Ashkinaze, J Mendelsohn, L Qiwei, C Budak…","2025","ACM","… —not active engagement with optimized-for-creativity AI aides. The latter is useful for
understanding how AI could affect creativity. But we aim to approximate how ordinary, existing, and …","https://dl.acm.org/doi/abs/10.1145/3715928.3737481"
"Artificial intelligence-based ensemble learning model for prediction of hepatitis C disease","MO Edeh, S Dalal, IB Dhaou, CC Agubosim…","2022","frontiersin.org","Machine learning algorithms are excellent techniques to develop prediction models to enhance response and efficiency in the health sector. Due to the non-lin...","https://www.frontiersin.org/articles/10.3389/fpubh.2022.892371/full"
"[HTML] Toward explainable electrical load forecasting of buildings: A comparative study of tree-based ensemble methods with Shapley values","J Moon, S Rho, SW Baik","2022","Elsevier/ScienceDirect","… Although artificial intelligence techniques have … Explainable artificial intelligence (XAI) has
recently received … the following tree-based ensemble models that produce outstanding results …","https://www.sciencedirect.com/science/article/pii/S2213138822009365"
