"title","authors","year","publisher","abstract","url"
"Artificial intelligence: AI inherent bias and influence on the executive function and authority of business leaders","TM Santiago","2020","search.proquest.com","Explore millions of resources from scholarly journals, books, newspapers, videos and more, on the ProQuest Platform.","https://search.proquest.com/openview/c6f909f308ca8b00d7f7b24df3b70fa3/1?pq-origsite=gscholar&cbl=18750&diss=y"
"Executive Functioning Skills and Artificial Intelligence","TF Riley, A Jerome-Raja…","2025","igi-global.com","Executive Functioning Skills and Artificial Intelligence: 10.4018/979-8-3693-5538-1.ch010: This chapter addresses the topic of equitable instruction using Artificial Intelligence for Executive Functioning skills of students with disabilities. The","https://www.igi-global.com/chapter/executive-functioning-skills-and-artificial-intelligence/360669"
"Executive functions and improvement of thinking: An intervention program to enhance deductive reasoning abilities","JA García-Madruga, I Orenes, JÓV Chaves…","2022","Cambridge University Press","Empirical and theoretical advances and application to society are moved at different speed. Application work is frequently developed later because it requires the integration of knowledge from different research areas. In the present paper, we integrate literature coming from diverse areas of research in order to design a deductive reasoning intervention, based on the involved executive functions. Executive functions include working memory (WM)’s online executive processes and other off-line functions such as task revising and planning. Deductive reasoning is a sequential thinking process driven by reasoners’ meta-deductive knowledge and goals that requires the construction and manipulation of representations. We present a new theoretical view about the relationship between executive function and higher-level thinking, a critical analysis of the possibilities and limitations of cognitive training, and a metacognitive training procedure on executive functions to improve deductive reasoning. This procedure integrates direct instruction on deduction and meta-deductive concepts (consistency, necessity) and strategies (search for counterexamples and exhaustivity), together with the simultaneous training of WM and executive functions involved: Focus and switch attention, update WM representations, inhibit and revise intuitive responses, and control the emotional stress yielded by tasks. Likewise, it includes direct training of some complex WM tasks that demands people to carry out similar cognitive assignment than deduction. Our training program would be included in the school curriculum and attempts not only to improve deductive reasoning in experimental tasks, but also to increase students’ ability to uncover fallacies in discourse, to automatize some basic logical skills, and to be able to use logical intuitions.","https://www.cambridge.org/core/journals/spanish-journal-of-psychology/article/executive-functions-and-improvement-of-thinking-an-intervention-program-to-enhance-deductive-reasoning-abilities/EF7480EA8682B1F530E57042392EF0A5"
"Theory is all you need: AI, human cognition, and causal reasoning","T Felin, M Holweg","2024","pubsonline.informs.org","… (eg, Kahneman 2018), we argue that human causal reasoning cannot, at least presently,
be mimicked by AI systems or computational approaches to cognition. Next, we further explore …","https://pubsonline.informs.org/doi/abs/10.1287/stsc.2024.0189"
"Computerized dynamic testing of children's potential for reasoning by analogy: The role of executive functioning","B Vogelaar, J Veerbeek, SE Splinter…","2021","Wiley","… with the RSPM, allocated the participants to either a training or a control condition. Pairs of
children with similar scores were randomly assigned to the training or the control condition. …","https://onlinelibrary.wiley.com/doi/abs/10.1111/jcal.12512"
"[PDF] AI integration to enhance executive functions through Mind Brain Education: a theoretical analysis","R TEGON","2025","ResearchGate","… over time and for reasoning, working memory is … Executive Functions (EFs), which are
essential cognitive processes, including working memory, cognitive flexibility, and inhibitory control…","https://www.researchgate.net/profile/Enrico-Orsenigo/publication/397373477_Evaluating_inclusion_through_educational_robotics_and_animated_reading_a_research-action/links/690dbb07368b49329faa1cf2/Evaluating-inclusion-through-educational-robotics-and-animated-reading-a-research-action.pdf#page=454"
"The causal mechanisms underlying analogical reasoning performance improvement by executive attention intervention","Y Lin, Q Li, A Chen","2023","Wiley","… We have found that a short executive attention intervention improved analogical reasoning
… And although we hypothesized that the intervention improved active inhibitory control and …","https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.26278"
"Potential cognitive risks of generative transformer-based AI chatbots on higher order executive functions.","U León-Domínguez","2024","psycnet.apa.org","… matrix reasoning, letter and number series, and verbal reasoning. … with the recruitment of
cognitive control, working memory, and … These functions fall within executive functions, and their …","https://psycnet.apa.org/fulltext/2024-50096-001.html"
"[PDF] Deep learning needs a prefrontal cortex","J Russin, RC O'Reilly, Y Bengio","2020","baicsworkshop.github.io","… artificial intelligence and the functions of a particular brain area — the prefrontal cortex (PFC).
This brain area is known to be involved in executive functions such as reasoning… control, or …","https://baicsworkshop.github.io/pdf/BAICS_10.pdf"
"Artificial conscious intelligence","JA Reggia, GE Katz, GP Davis","2020","worldscientific.com","… understanding of how cognitive algorithms (executive control, goal-directed problem solving,
… used in high-level problem solving and reasoning. Such sequences can represent not only …","https://www.worldscientific.com/doi/abs/10.1142/S270507852050006X"
