"title","authors","year","publisher","abstract","url"
"Best humans still outperform artificial intelligence in a creative divergent thinking task","M Koivisto, S Grassini","2023","Nature","Creativity has traditionally been considered an ability exclusive to human beings. However, the rapid development of artificial intelligence (AI) has resulted in generative AI chatbots that can produce high-quality artworks, raising questions about the differences between human and machine creativity. In this study, we compared the creativity of humans (n = 256) with that of three current AI chatbots using the alternate uses task (AUT), which is the most used divergent thinking task. Participants were asked to generate uncommon and creative uses for everyday objects. On average, the AI chatbots outperformed human participants. While human responses included poor-quality ideas, the chatbots generally produced more creative responses. However, the best human ideas still matched or exceed those of the chatbots. While this study highlights the potential of AI as a tool to enhance creativity, it also underscores the unique and complex nature of human creativity that may be difficult to fully replicate or surpass with AI technology. The study provides insights into the relationship between human and machine creativity, which is related to important questions about the future of creative work in the age of AI.","https://www.nature.com/articles/s41598-023-40858-3"
"Computational creativity: an investigation in stimulating human creativity with artificial intelligence in divergent thinking tasks/submitted by Erhan Elik","E Elik","2023","unipub.uni-graz.at","Hochschulschriften. Computational creativity : an investigation in stimulating human creativity with artificial intelligence in divergent thinking tasks / submitted by Erhan Elik. Graz, 2023","http://unipub.uni-graz.at/obvugrhs/8694098"
"LiveIdeaBench: Evaluating LLMs' Divergent Thinking for Scientific Idea Generation with Minimal Context","K Ruan, X Wang, J Hong, P Wang, Y Liu…","2024","arXiv","While Large Language Models (LLMs) demonstrate remarkable capabilities in scientific tasks such as literature analysis and experimental design (e.g., accurately extracting key findings from papers or generating coherent experimental procedures), existing evaluation benchmarks primarily assess performance using rich contextual inputs. We introduce LiveIdeaBench, a comprehensive benchmark evaluating LLMs' scientific idea generation by assessing divergent thinking capabilities using single-keyword prompts. Drawing from Guilford's creativity theory, our benchmark employs a dynamic panel of state-of-the-art LLMs to assess generated ideas across five key dimensions: originality, feasibility, fluency, flexibility, and clarity. Through extensive experimentation with over 40 leading models across 1,180 keywords spanning 22 scientific domains, we reveal that the scientific idea generation capabilities measured by our benchmark, are poorly predicted by standard metrics of general intelligence. Our results demonstrate that models like QwQ-32B-preview achieve creative performance comparable to top-tier models such as claude-3.7-sonnet:thinking, despite significant gaps in their general intelligence scores. These findings highlight the need for specialized evaluation benchmarks for scientific idea generation and suggest that enhancing these idea generation capabilities in LLMs may require different training strategies than those used for improving general problem-solving abilities, potentially enabling a wider range of AI tools tailored for different stages of the scientific process.","https://arxiv.org/abs/2412.17596"
"Machine thinking and human imagination: New horizons for creativity in the digital age","A Skoryk, I Antipina, O Havrosh, Y Shunevych…","2025","ijchr.net","… a conceptual framework for hybrid authorship. Three dominant models of human-AI
interaction were … The proposed model of hybrid authorship shifts away from binary human/machine …","https://ijchr.net/journal/article/view/156"
"AI-Augmented design thinking: Potentials, challenges, and mitigation strategies of integrating artificial intelligence in Human-Centered innovation processes","L Polster, V Bilgram, S Görtz","2024","IEEE","The integration of artificial intelligence (AI) into innovation management has expanded into creative domains such as design thinking (DT), yet its role within complex, collaborative innovation frameworks remains underexplored. This article addresses this gap by investigating how professionals perceive and utilize AI in DT workshops. Using affordance theory as a conceptual lens, we conducted observational studies and semistructured interviews with DT experts to identify AI's action potentials, constraints, and mitigation strategies in this context. Our findings highlight four key affordances of AI in DT workshops: enhanced creativity, support for analytical tasks, facilitation of task initiation, and acceleration of processes. However, these benefits are tempered by challenges, including reduced team collaboration, diminished ownership of AI-generated outputs, and disruptions to workshop flow. The article reveals distinct human–AI interaction archetypes, underscoring the dynamic interplay between human expertise and AI capabilities. To mitigate constraints, we propose strategies such as prepreparing AI-generated content, defining clear roles for AI and human inputs, and fostering collaborative reflection on AI outputs. By illuminating AI's potential and limitations within DT, this article contributes to the innovation management literature and offers actionable insights for practitioners seeking to integrate AI into hybrid innovation processes.","https://ieeexplore.ieee.org/abstract/document/10786211/"
"Creativity flourishes using hybrid space patterns","A Mor-Avi, L Scott-Webber","2022","Springer","Current architectural educational design solutions are challenged by recent, multiple paradigm shifts: changes in societal culture, research on how we learn, educational methods (passive to active learning), and an emphasis on collaboration and participatory creativity. Evidence indicates that collaborative creativity is essential for innovation, and creativity flourishes in contradictory patterns of cultures, settings, and behaviors. “Design and space do matter” in supporting innovation and a culture of a place, particularly in learning-driven domains. The research studied how an active, adaptive design approach might emerge as a support for these paradigm shifts relative to the learning and creative processes. This chapter investigates how hybrid spatial patterns may support a collaborative culture with participatory creativity. It further aims to present a relationship between learning, creativity, and space by introducing hybrid patterns of architectural affordances that may promote new learning behaviors impacting collaborative creativity. The research design used a mixed-method protocol: (1) content analysis of design awarded learning and working environments, (2) survey and interviews, and (3) a Post-Occupancy Evaluation ethnography using behavioral observations and photographic traces techniques. The convenience sample was the Innovation Center at Illinois Institute of Technology, Chicago, USA. Analysis of the findings provides a new pattern language of contradictory cultures, settings, and conditions supporting creativity and learning. Three factors emerged: (1) convergent and divergent cultures reflecting modes of thinking, (2) private and public conditions reflecting the needs of the individual vs. the collective, and (3) concrete and abstract settings relating to passive vs. active spaces and behaviors. In an effort to provide information and guidelines for the educational and design communities, this chapter introduces a hybrid, active system of spaces related to cultures of learning, and environmental behavior, promoting collaborative creativity; fostering a new relationship between education and architecture.","https://link.springer.com/chapter/10.1007/978-3-030-88520-5_13"
"A hybrid prototype method combining physical models and generative artificial intelligence to support creativity in conceptual design","H Zhang, P Chen, X Xie, Z Jiang, Z Zhou…","2024","ACM","… Consequently, we believe that standalone AI tools are well-suited for facilitating divergent
thinking during the initial conceptual design phase, such as brainstorming. Nonetheless, …","https://dl.acm.org/doi/abs/10.1145/3689433"
"Hybrid intelligence for innovation: augmenting NPD teams with artificial intelligence and machine learning","F Piller, S Bouschery, V Blazevic","2023","books.google.com","THE PDMA HANDBOOK OF INNOVATION AND NEW PRODUCT DEVELOPMENT State-of-the-art overview of all aspects of new product development from start to finish The Product Development and Management Association (PDMA) Handbook of Innovation and New Product Development provides an exceptional review of cutting-edge topics for both new and experienced product development leaders, and academics interested in emerging research, offering a comprehensive and updated guide to the practices, processes, and tools critical to achieving and sustaining new product/service development success in today’s world and delivering valuable information on the fundamentals as well as emerging practices. This edition is completely revised to include 32 new and refreshed chapters on topics including: Creating Successful Innovation, Sustainable New Product Development (NPD), Digital Transformation of NPD, the Changing Role of Design Thinking, Market Forecasting, and much more. In The Product Development and Management Association (PDMA) Handbook of Innovation and New Product Development, readers can expect to find specific information on: What separates the winners from the losers when it comes to new products, plus what drives new product success from a holistic standpoint Effective front end innovation practices, portfolio management for product innovation, and identifying significant new business opportunities Obtaining customer needs for product development, harnessing user research for product innovation, and making market analytics work for you Design thinking, artificial intelligence and new product development The 4th edition of The Product Development and Management Association (PDMA) Handbook of Innovation and New Product Development is an essential reference for anyone with responsibility for product development activities, from novices looking for fundamentals to experts seeking insights on emerging concepts and is relevant for all functions and all industries. The Product Development and Management Association (PDMA) is a global community connecting thousands of members whose skills, expertise and experience power the most recognized and respected innovative companies in the world. PDMA’s unique triad of members include product development and management practitioners, academics, and service providers in a variety of industries and knowledge areas, including new product process, strategy innovation, market research, tools and metrics, organizational issues and portfolio management.","https://books.google.com/books?hl=en&lr=&id=qkq2EAAAQBAJ&oi=fnd&pg=PA407&dq=hybrid+AI+divergent+thinking&ots=BQbs7SNSri&sig=7pcK6iczv3-gVTDUHX2dxIIzz-I"
"Differences between remote and analog design thinking through the lens of distributed cognition","D Wolferts, E Stein, AK Bernards…","2022","frontiersin.org","Due to the huge surge in remote work all over the world caused by the COVID-19 pandemic, today’s work is largely defined by tools for information exchange as...","https://www.frontiersin.org/articles/10.3389/frai.2022.915922/full"
"Artificial intelligence-augmented brainstorming: How humans and ai beat humans alone","SG Bouschery, V Blazevic, FT Piller","2024","papers.ssrn.com","… generative AI in particular is well equipped to support and augment such divergent thinking
… Accordingly, we conclude that the ideas contributed by the AI in the hybrid groups were able …","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4724068"
