"title","authors","year","publisher","abstract","url"
"Deepseek-vl2: Mixture-of-experts vision-language models for advanced multimodal understanding","Z Wu, X Chen, Z Pan, X Liu, W Liu, D Dai…","2024","arXiv","We present DeepSeek-VL2, an advanced series of large Mixture-of-Experts (MoE) Vision-Language Models that significantly improves upon its predecessor, DeepSeek-VL, through two key major upgrades. For the vision component, we incorporate a dynamic tiling vision encoding strategy designed for processing high-resolution images with different aspect ratios. For the language component, we leverage DeepSeekMoE models with the Multi-head Latent Attention mechanism, which compresses Key-Value cache into latent vectors, to enable efficient inference and high throughput. Trained on an improved vision-language dataset, DeepSeek-VL2 demonstrates superior capabilities across various tasks, including but not limited to visual question answering, optical character recognition, document/table/chart understanding, and visual grounding. Our model series is composed of three variants: DeepSeek-VL2-Tiny, DeepSeek-VL2-Small and DeepSeek-VL2, with 1.0B, 2.8B and 4.5B activated parameters respectively. DeepSeek-VL2 achieves competitive or state-of-the-art performance with similar or fewer activated parameters compared to existing open-source dense and MoE-based models. Codes and pre-trained models are publicly accessible at this https URL.","https://arxiv.org/abs/2412.10302"
"Moe-llava: Mixture of experts for large vision-language models","B Lin, Z Tang, Y Ye, J Cui, B Zhu, P Jin, J Huang…","2024","arXiv","Recent advances demonstrate that scaling Large Vision-Language Models (LVLMs) effectively improves downstream task performances. However, existing scaling methods enable all model parameters to be active for each token in the calculation, which brings massive training and inferring costs. In this work, we propose a simple yet effective training strategy MoE-Tuning for LVLMs. This strategy innovatively addresses the common issue of performance degradation in multi-modal sparsity learning, consequently constructing a sparse model with an outrageous number of parameters but a constant computational cost. Furthermore, we present the MoE-LLaVA, a MoE-based sparse LVLM architecture, which uniquely activates only the top-k experts through routers during deployment, keeping the remaining experts inactive. Extensive experiments show the significant performance of MoE-LLaVA in a variety of visual understanding and object hallucination benchmarks. Remarkably, with only approximately 3B sparsely activated parameters, MoE-LLaVA demonstrates performance comparable to the LLaVA-1.5-7B on various visual understanding datasets and even surpasses the LLaVA-1.5-13B in object hallucination benchmark. Through MoE-LLaVA, we aim to establish a baseline for sparse LVLMs and provide valuable insights for future research in developing more efficient and effective multi-modal learning systems. Code is released at this https URL.","https://arxiv.org/abs/2401.15947"
"Mixture-of-experts meets instruction tuning: A winning combination for large language models","S Shen, L Hou, Y Zhou, N Du, S Longpre, J Wei…","2023","arXiv","Sparse Mixture-of-Experts (MoE) is a neural architecture design that can be utilized to add learnable parameters to Large Language Models (LLMs) without increasing inference cost. Instruction tuning is a technique for training LLMs to follow instructions. We advocate combining these two approaches, as we find that MoE models benefit more from instruction tuning than dense models. In particular, we conduct empirical studies across three experimental setups: (i) Direct finetuning on individual downstream tasks devoid of instruction tuning; (ii) Instructiontuning followed by in-context few-shot or zero-shot generalization on downstream tasks; and (iii) Instruction tuning supplemented by further finetuning on individual downstream tasks. In the first scenario, MoE models overall underperform dense models of identical computational capacity. This narrative, however, dramatically changes with the introduction of instruction tuning (second and third scenario), used independently or in conjunction with task-specific finetuning. Our most powerful model, FLAN-MOE-32B, surpasses the performance of FLAN-PALM-62B on four benchmark tasks, while using only a third of the FLOPs. The advancements embodied byFLAN-MOE inspire a reevaluation of the design principles of large-scale, high-performance language models in the framework of task-agnostic learning.","https://arxiv.org/abs/2305.14705"
"A mixture-of-experts deep generative model for integrated analysis of single-cell multiomics data","K Minoura, K Abe, H Nam, H Nishikawa…","2021","cell.com","… scMM addresses the complexity of data by leveraging a mixture-of-experts multimodal
variational autoencoder. The pseudocell generation strategy of scMM compensates for the limited …","https://www.cell.com/cell-reports-methods/fulltext/S2667-2375(21)00123-5"
"Multitask mixture of sequential experts for user activity streams","Z Qin, Y Cheng, Z Zhao, Z Chen, D Metzler…","2020","ACM","… We propose a novel Mixture of Sequential Expert (MoSE) model that consistently outperforms
alternatives while providing important practical flexibility in both a synthetic and a real-…","https://dl.acm.org/doi/abs/10.1145/3394486.3403359"
"The crowdless future? Generative AI and creative problem-solving","L Boussioux, JN Lane, M Zhang…","2024","pubsonline.informs.org","… (AI) open up attractive opportunities for creative problem-solving through human-guided AI
… By incorporating “AI in the loop” into human-centered creative problem-solving, our study …","https://pubsonline.informs.org/doi/abs/10.1287/orsc.2023.18430"
"Qwen3 technical report","A Yang, A Li, B Yang, B Zhang, B Hui, B Zheng…","2025","arXiv","In this work, we present Qwen3, the latest version of the Qwen model family. Qwen3 comprises a series of large language models (LLMs) designed to advance performance, efficiency, and multilingual capabilities. The Qwen3 series includes models of both dense and Mixture-of-Expert (MoE) architectures, with parameter scales ranging from 0.6 to 235 billion. A key innovation in Qwen3 is the integration of thinking mode (for complex, multi-step reasoning) and non-thinking mode (for rapid, context-driven responses) into a unified framework. This eliminates the need to switch between different models--such as chat-optimized models (e.g., GPT-4o) and dedicated reasoning models (e.g., QwQ-32B)--and enables dynamic mode switching based on user queries or chat templates. Meanwhile, Qwen3 introduces a thinking budget mechanism, allowing users to allocate computational resources adaptively during inference, thereby balancing latency and performance based on task complexity. Moreover, by leveraging the knowledge from the flagship models, we significantly reduce the computational resources required to build smaller-scale models, while ensuring their highly competitive performance. Empirical evaluations demonstrate that Qwen3 achieves state-of-the-art results across diverse benchmarks, including tasks in code generation, mathematical reasoning, agent tasks, etc., competitive against larger MoE models and proprietary models. Compared to its predecessor Qwen2.5, Qwen3 expands multilingual support from 29 to 119 languages and dialects, enhancing global accessibility through improved cross-lingual understanding and generation capabilities. To facilitate reproducibility and community-driven research and development, all Qwen3 models are publicly accessible under Apache 2.0.","https://arxiv.org/abs/2505.09388"
"Promoting a mixed-design model of scientific creativity through digital storytelling—the CCQ model for creativity","Z Smyrnaiou, E Georgakopoulou, S Sotiriou","2020","Springer","BackgroundThis study presents the development of three research tools of scientific creativity. Our aim is to evaluate the development of student creativity while students write digital stories. Three models are linked to create a new model, called Creative, Cognitive, Qualitative Model for Creativity (CCQ tool). Our research tool examines how creativity can be standardized, first by researchers’ views and then by teachers and students’ creative products. The first tool is based on two existing tools; the Scientific Creativity Structure Model (SCSM) and the TTCT Figural Subscales, and on new characteristics, the effective learning environments, as we have developed them in the CREATIONS Program. We have tried to expand this tool by combining its key elements to the theoretical framework of creativity, as we have approached it in the CREATIONS and the STORIES Programs. The second tool “Students’ Creativity Evaluation Model” is a new tool that derives from empirical data and Grounded Theory methods. It examines the expected, original, and innovative ways of students’ thinking. The third tool “Experts’ Creativity Evaluation Model” allows us to examine the role of experts thinking on writing a story. It aims at tracking experts’ model of thinking and is viewed in comparison to the students’ creative model of thinking. We create a qualitative tool as we believe that a qualitative method delves deeper into students’ internal mechanisms of creativity.ResultsTwelve students’ stories from classrooms of different countries which participate to STORIES Program are analyzed indicatively by two independent researchers. The results seem to indicate that digital storytelling increases scientific creativity among students.ConclusionsThe main difference between expert and students’ approaches is that experts’ stories follow an up to bottom approach, while it is the opposite for students’ creative process. It has to be mentioned that almost all of the stories combined science with creative thinking. Students transformed their personal values into stories; therefore, this creative procedure was influenced by social, cultural, and ethnographical characteristics. The contribution of our research is that it offers a research tool that not only measures creativity but also studies the cognitive mechanisms involved in creative thinking.","https://link.springer.com/article/10.1186/s40594-020-00223-6"
"[PDF] Qwen2 technical report","Q Team","2024","cdn.jsdelivr.net","… We release both dense and Mixture-of-Experts (MoE) models, with the number of
parameters ranging from 0.6 billion to 235 billion, to meet the needs of different downstream …","https://cdn.jsdelivr.net/gh/yanfeng98/paper-is-all-you-need/papers/00069-Qwen3_Technical_Report.pdf"
"Kimi k2: Open agentic intelligence","K Team, Y Bai, Y Bao, G Chen, J Chen, N Chen…","2025","arXiv","We introduce Kimi K2, a Mixture-of-Experts (MoE) large language model with 32 billion activated parameters and 1 trillion total parameters. We propose the MuonClip optimizer, which improves upon Muon with a novel QK-clip technique to address training instability while enjoying the advanced token efficiency of Muon. Based on MuonClip, K2 was pre-trained on 15.5 trillion tokens with zero loss spike. During post-training, K2 undergoes a multi-stage post-training process, highlighted by a large-scale agentic data synthesis pipeline and a joint reinforcement learning (RL) stage, where the model improves its capabilities through interactions with real and synthetic environments. Kimi K2 achieves state-of-the-art performance among open-source non-thinking models, with strengths in agentic capabilities. Notably, K2 obtains 66.1 on Tau2-Bench, 76.5 on ACEBench (En), 65.8 on SWE-Bench Verified, and 47.3 on SWE-Bench Multilingual -- surpassing most open and closed-sourced baselines in non-thinking settings. It also exhibits strong capabilities in coding, mathematics, and reasoning tasks, with a score of 53.7 on LiveCodeBench v6, 49.5 on AIME 2025, 75.1 on GPQA-Diamond, and 27.1 on OJBench, all without extended thinking. These results position Kimi K2 as one of the most capable open-source large language models to date, particularly in software engineering and agentic tasks. We release our base and post-trained model checkpoints to facilitate future research and applications of agentic intelligence.","https://arxiv.org/abs/2507.20534"
