"title","authors","year","publisher","abstract","url"
"Neuro-symbolic AI in 2024: A systematic review","BC Colelough, W Regli","2025","arXiv","Background: The field of Artificial Intelligence has undergone cyclical periods of growth and decline, known as AI summers and winters. Currently, we are in the third AI summer, characterized by significant advancements and commercialization, particularly in the integration of Symbolic AI and Sub-Symbolic AI, leading to the emergence of Neuro-Symbolic AI. Methods: The review followed the PRISMA methodology, utilizing databases such as IEEE Explore, Google Scholar, arXiv, ACM, and SpringerLink. The inclusion criteria targeted peer-reviewed papers published between 2020 and 2024. Papers were screened for relevance to Neuro-Symbolic AI, with further inclusion based on the availability of associated codebases to ensure reproducibility. Results: From an initial pool of 1,428 papers, 167 met the inclusion criteria and were analyzed in detail. The majority of research efforts are concentrated in the areas of learning and inference (63%), logic and reasoning (35%), and knowledge representation (44%). Explainability and trustworthiness are less represented (28%), with Meta-Cognition being the least explored area (5%). The review identifies significant interdisciplinary opportunities, particularly in integrating explainability and trustworthiness with other research areas. Conclusion: Neuro-Symbolic AI research has seen rapid growth since 2020, with concentrated efforts in learning and inference. Significant gaps remain in explainability, trustworthiness, and Meta-Cognition. Addressing these gaps through interdisciplinary research will be crucial for advancing the field towards more intelligent, reliable, and context-aware AI systems.","https://arxiv.org/abs/2501.05435"
"A Roadmap towards Neurosymbolic Approaches in AI Design","PJ Arachchige, B Iancu, J Lilius","2025","IEEE","Neurosymbolic Artificial Intelligence (NeSy) integrates two central paradigms in artificial intelligence (AI). The first is connectionist (or sub-symbolic) AI, which enables scalable and efficient statistical learning. The second is symbolic reasoning, which provides formal reasoning and explainability. This study conducted a systematic review of NeSy architectures published between 2013 and 2024, synthesizing the structural patterns and integration strategies from 319 peer-reviewed publications. From this corpus, 18 representative approaches were selected based on methodological rigor, symbolic fidelity, and conceptual novelty. These approaches were subsequently classified into three architectural paradigms: Sequential, Multi-Integration, and Hybrid. Based on this classification, a five-stage symbolic integration framework is proposed, comprising 1) data preprocessing, 2) neural–symbolic embedding, 3) incorporation of domain knowledge, 4) logical reasoning modules, and 5) symbolic postprocessing. The findings indicate that multistage symbolic integration, particularly when embedded within neural layers and reasoning components, improves the system’s explainability, robustness, and semantic alignment. Comparative analysis further reveals a fundamental trade-off: architectures grounded in formal logic exhibit higher precision and verifiability, whereas those employing representational-symbolic languages yield greater interpretability and flexibility. The resulting generic architecture provides a modular design blueprint for future NeSy systems, supporting scalable, transparent, and semantically grounded AI development.","https://ieeexplore.ieee.org/abstract/document/11192262/"
"Neurosymbolic Approaches in AI Design–An overview","P Jayasingha, B Iancu, J Lilius","2025","IEEE","Artificial Intelligence (AI) has seen exponential growth over the last few decades, due to significant advancements in neural networks and other intricate machine learning models. One significant challenge ahead is reconciling the interpretability of symbolic AI with neural networks. The key goal is to integrate neural networks with symbolic frameworks to enable reasoning, explainability, and logical pathways within innovative, complementary architectures that mitigate the shortcomings of both neural networks and symbolic AI. This research investigates NS-AI approaches in the past decade through a systematic review, adhering to a set of criteria created to answer the most fundamental of questions on designing an NS-AI approach. The objective of this study is to unveil a generic standardized design, documenting the integration of NS-AI approaches within a model based on neural networks and symbolic AI. The output of this research shows three clear differentiations in the structure of NS-AI approaches, which are named as follows: Sequential, Multi-Integration and Hybrid. The differentiation on the design phase of the approach brings a more coherent perspective overall and promotes a better understanding of an approach, ascertaining to which of the NS-AI structures it falls into based on its fundamental design.","https://ieeexplore.ieee.org/abstract/document/10981497/"
"Neuro-symbolic approaches in artificial intelligence","P Hitzler, A Eberhart, M Ebrahimi…","2022","academic.oup.com","… While we cannot give the whole neuro-symbolic AI field due recognition in a brief overview,
we have attempted to identify the major current research directions based on our survey of …","https://academic.oup.com/nsr/article-abstract/9/6/nwac035/6542460"
"Neuro-symbolic AI: Explainability, challenges, and future trends","X Zhang, VS Sheng","2024","arXiv","Explainability is an essential reason limiting the application of neural networks in many vital fields. Although neuro-symbolic AI hopes to enhance the overall explainability by leveraging the transparency of symbolic learning, the results are less evident than imagined. This article proposes a classification for explainability by considering both model design and behavior of 191 studies from 2013, focusing on neuro-symbolic AI, hoping to inspire scholars who want to understand the explainability of neuro-symbolic AI. Precisely, we classify them into five categories by considering whether the form of bridging the representation differences is readable as their design factor, if there are representation differences between neural networks and symbolic logic learning, and whether a model decision or prediction process is understandable as their behavior factor: implicit intermediate representations and implicit prediction, partially explicit intermediate representations and partially explicit prediction, explicit intermediate representations or explicit prediction, explicit intermediate representation and explicit prediction, unified representation and explicit prediction. We also analyzed the research trends and three significant challenges: unified representations, explainability and transparency, and sufficient cooperation from neural networks and symbolic learning. Finally, we put forward suggestions for future research in three aspects: unified representations, enhancing model explainability, ethical considerations, and social impact.","https://arxiv.org/abs/2411.04383"
"Neuro-Symbolic Creative Artificial Intelligence for Humor","T Winters, L De Raedt","2023","lirias.kuleuven.be","… In this thesis, we delve into the world of neuro-symbolic creative AI by both … AI lies in
harnessing the power of both symbolic and neural AI, we also create a well-defined neuro-symbolic …","https://lirias.kuleuven.be/handle/20.500.12942/729659"
"Neuro-symbolic AI+ agent systems: a first reflection on trends, opportunities and challenges","V Belle, M Fisher, A Russo, E Komendantskaya…","2023","Springer","To get one step closer to “human-like” intelligence, we need systems capable of seamlessly combining the neural learning power of symbolic feature extraction from raw data with sophisticated symbolic inference mechanisms for reasoning about “high-level” concepts. It is important to also incorporate existing prior knowledge about a given problem domain, especially since modern machine learning frameworks are typically data-hungry. Recently the field of neuro-symbolic AI has emerged as a promising paradigm for precisely such an integration.However, coming up with a single, clear, concise definition of this area is not an easy task. There are plenty of variations on this topic, and there is no “one true way” that the community can coalesce around. Recently, a workshop was organized at AAMAS-2023 (London, UK) to discuss how this definition should be broadened to also consider reasoning about agents. This article is a collection of ideas, opinions, and positions from computer scientists who were invited for a panel discussion at the workshop.This collection is not meant to be comprehensive but is rather intended to stimulate further conversation on the field of “Neuro-Symbolic Multi-Agent Systems.”","https://link.springer.com/chapter/10.1007/978-3-031-56255-6_10"
"Neuro-symbolic artificial intelligence: a survey","BP Bhuyan, A Ramdane-Cherif, R Tomar…","2024","Springer","The goal of the growing discipline of neuro-symbolic artificial intelligence (AI) is to develop AI systems with more human-like reasoning capabilities by combining symbolic reasoning with connectionist learning. We survey the literature on neuro-symbolic AI during the last two decades, including books, monographs, review papers, contribution pieces, opinion articles, foundational workshops/talks, and related PhD theses. Four main features of neuro-symbolic AI are discussed, including representation, learning, reasoning, and decision-making. Finally, we discuss the many applications of neuro-symbolic AI, including question answering, robotics, computer vision, healthcare, and more. Scalability, explainability, and ethical considerations are also covered, as well as other difficulties and limits of neuro-symbolic AI. This study summarizes the current state of the art in neuro-symbolic artificial intelligence.","https://link.springer.com/article/10.1007/s00521-024-09960-z"
"Modeling cognitive processes within a creative problem-solving task: from symbolic to neuro-symbolic approaches in computational learning sciences","C Mercier","2024","theses.hal.science","Integrating transversal skills such as creativity, problem solving and computational thinking, into the primary and secondary curricula is a key challenge in today’s educational field. We postulate that teaching and assessing transversal competencies could benefit from a better understanding of the learners’ behaviors in specific activities that require these competencies. To this end, computational learning science is an emerging field that requires the close collaboration of computational neuroscience and educational sciences to enable the assessment of learning processes. We focus on a creative problem-solving task in which the subject is engaged into building a “vehicle” by combining modular robotic cubes. As part of an exploratory research action, we propose several approaches based on symbolic to neuro-symbolic formalisms, in order to specify such a task and model the behavior and underlying cognitive processes of a subject engaged in this task. Despite being at a very preliminary stage, such a formalization seems promising to better understand complex mechanisms involved in creative problem solving at several levels: (i) the specification of the problem and the observables of interest to collect during the task; (ii) the cognitive representation of the problem space, depending on prior knowledge and affordance discovery, allowing to generate creative solution trajectories; (iii) an implementation of reasoning mechanisms within a neuronal substrate.","https://theses.hal.science/tel-04678913/"
"Neuro-Symbolic AI for Cognitive Robotics: Bridging Perception and Reasoning","N Ahmed","2025","scholarclub.org","… The future outlook of the Neuro-Symbolic AI as applied in the robotics industry extends well
… allows open ended learning, imagination and creativity. These features will characterize the …","https://scholarclub.org/index.php/IJAIR/article/view/95"
