"title","authors","year","publisher","abstract","url"
"Spontaneous and deliberate creative cognition during and after psilocybin exposure","NL Mason, KPC Kuypers, JT Reckweg, F Müller…","2021","Nature","Creativity is an essential cognitive ability linked to all areas of our everyday functioning. Thus, finding a way to enhance it is of broad interest. A large number of anecdotal reports suggest that the consumption of psychedelic drugs can enhance creative thinking; however, scientific evidence is lacking. Following a double-blind, placebo-controlled, parallel-group design, we demonstrated that psilocybin (0.17 mg/kg) induced a time- and construct-related differentiation of effects on creative thinking. Acutely, psilocybin increased ratings of (spontaneous) creative insights, while decreasing (deliberate) task-based creativity. Seven days after psilocybin, number of novel ideas increased. Furthermore, we utilized an ultrahigh field multimodal brain imaging approach, and found that acute and persisting effects were predicted by within- and between-network connectivity of the default mode network. Findings add some support to historical claims that psychedelics can influence aspects of the creative process, potentially indicating them as a tool to investigate creativity and subsequent underlying neural mechanisms. Trial NL6007; psilocybin as a tool for enhanced cognitive flexibility; https://www.trialregister.nl/trial/6007.","https://www.nature.com/articles/s41398-021-01335-5"
"[PDF] Brainwaves! Spontaneous and deliberate creative cognition during and after psilocybin exposure","NL Mason, KPC Kuypers, J Reckweg…","N/A","cris.maastrichtuniversity.nl","… within-and between-network connectivity of the default mode network. Findings add support
to … of the creative process, making them a potentially novel tool to investigate creativity and …","https://cris.maastrichtuniversity.nl/ws/portalfiles/portal/64807791/c7080.pdf#page=135"
"Default mode network modulation by psychedelics: a systematic review","JJ Gattuso, D Perkins, S Ruffell…","2023","academic.oup.com","… at rest have been termed the Default Mode Network (DMN). The … investigated how psychedelics
modulate this network, but no … Psilocybin arm 25 mg of oral psilocybin duplicated three …","https://academic.oup.com/ijnp/article-abstract/26/3/155/6770039"
"[HTML] Neural mechanisms of resting-state networks and the amygdala underlying the cognitive and emotional effects of psilocybin","D Stoliker, L Novelli, FX Vollenweider, GF Egan…","2024","Elsevier/ScienceDirect","… resting-state networks to the amygdala. Effective connectivity decreased within the default
mode network and salience network but increased within the central executive network. These …","https://www.sciencedirect.com/science/article/pii/S0006322324000040"
"[HTML] Updating the dynamic framework of thought: Creativity and psychedelics","M Girn, C Mills, L Roseman, RL Carhart-Harris…","2020","Elsevier/ScienceDirect","… creativity by highlighting the dynamic nature of creative thought, both within and between the
stages of creative … In particular, we emphasize that creative generation in particular is best …","https://www.sciencedirect.com/science/article/pii/S1053811920302135"
"Psilocybin-induced default mode network hypoconnectivity is blunted in alcohol-dependent rats","JR Reinwald, CN Schmitz, I Skorodumov…","2023","Nature","Alcohol Use Disorder (AUD) adversely affects the lives of millions of people, but still lacks effective treatment options. Recent advancements in psychedelic research suggest psilocybin to be potentially efficacious for AUD. However, major knowledge gaps remain regarding (1) psilocybin’s general mode of action and (2) AUD-specific alterations of responsivity to psilocybin treatment in the brain that are crucial for treatment development. Here, we conducted a randomized, placebo-controlled crossover pharmaco-fMRI study on psilocybin effects using a translational approach with healthy rats and a rat model of alcohol relapse. Psilocybin effects were quantified with resting-state functional connectivity using data-driven whole-brain global brain connectivity, network-based statistics, graph theory, hypothesis-driven Default Mode Network (DMN)-specific connectivity, and entropy analyses. Results demonstrate that psilocybin induced an acute wide-spread decrease in different functional connectivity domains together with a distinct increase of connectivity between serotonergic core regions and cortical areas. We could further provide translational evidence for psilocybin-induced DMN hypoconnectivity reported in humans. Psilocybin showed an AUD-specific blunting of DMN hypoconnectivity, which strongly correlated to the alcohol relapse intensity and was mainly driven by medial prefrontal regions. In conclusion, our results provide translational validity for acute psilocybin-induced neural effects in the rodent brain. Furthermore, alcohol relapse severity was negatively correlated with neural responsivity to psilocybin treatment. Our data suggest that a clinical standard dose of psilocybin may not be sufficient to treat severe AUD cases; a finding that should be considered for future clinical trials.","https://www.nature.com/articles/s41398-023-02690-1"
"Psilocybin therapy increases cognitive and neural flexibility in patients with major depressive disorder","MK Doss, M Považan, MD Rosenberg…","2021","Nature","Psilocybin has shown promise for the treatment of mood disorders, which are often accompanied by cognitive dysfunction including cognitive rigidity. Recent studies have proposed neuropsychoplastogenic effects as mechanisms underlying the enduring therapeutic effects of psilocybin. In an open-label study of 24 patients with major depressive disorder, we tested the enduring effects of psilocybin therapy on cognitive flexibility (perseverative errors on a set-shifting task), neural flexibility (dynamics of functional connectivity or dFC via functional magnetic resonance imaging), and neurometabolite concentrations (via magnetic resonance spectroscopy) in brain regions supporting cognitive flexibility and implicated in acute psilocybin effects (e.g., the anterior cingulate cortex, or ACC). Psilocybin therapy increased cognitive flexibility for at least 4 weeks post-treatment, though these improvements were not correlated with the previously reported antidepressant effects. One week after psilocybin therapy, glutamate and N-acetylaspartate concentrations were decreased in the ACC, and dFC was increased between the ACC and the posterior cingulate cortex (PCC). Surprisingly, greater increases in dFC between the ACC and PCC were associated with less improvement in cognitive flexibility after psilocybin therapy. Connectome-based predictive modeling demonstrated that baseline dFC emanating from the ACC predicted improvements in cognitive flexibility. In these models, greater baseline dFC was associated with better baseline cognitive flexibility but less improvement in cognitive flexibility. These findings suggest a nuanced relationship between cognitive and neural flexibility. Whereas some enduring increases in neural dynamics may allow for shifting out of a maladaptively rigid state, larger persisting increases in neural dynamics may be of less benefit to psilocybin therapy.","https://www.nature.com/articles/s41398-021-01706-y"
"The transformational power of psychedelics: catalysts for creativity, consciousness, and mental health","X Du, J Liu, X Wang","2025","Nature","Psychedelics, such as psilocybin, lysergic acid diethylamide (LSD), ketamine, and N,N-dimethyltryptamine (DMT), have captured the attention of scientists, artists, and seekers alike for their profound ability to alter consciousness and inspire creativity. The concept of “creation” encompasses multiple interpretations—ranging from generating novel ideas to fostering personal transformation. This perspective explores how psychedelics interact with the concept of creation, examining their role in enhancing artistic inspiration, facilitating spiritual experiences, and driving therapeutic breakthroughs in mental health treatment. By integrating findings from neurobiological research, clinical applications, and cultural analysis, we offer a holistic view of how psychedelics may catalyze innovative modes of thinking and awaken the mind’s creative and transformative potential. As these substances gain prominence as tools for reshaping our understanding of consciousness and psychological healing, their broader integration into society requires careful consideration of legal complexities, ethical responsibilities, and cultural contexts to ensure their use is evidence-based, respectful, and responsibly guided.","https://www.nature.com/articles/s41380-025-03291-8"
"The default network is causally linked to creative thinking","B Shofty, T Gonen, E Bergmann, N Mayseless…","2022","Nature","Creative thinking represents a major evolutionary mechanism that greatly contributed to the rapid advancement of the human species. The ability to produce novel and useful ideas, or original thinking, is thought to correlate well with unexpected, synchronous activation of several large-scale, dispersed cortical networks, such as the default network (DN). Despite a vast amount of correlative evidence, a causal link between default network and creativity has yet to be demonstrated. Surgeries for resection of brain tumors that lie in proximity to speech related areas are performed while the patient is awake to map the exposed cortical surface for language functions. Such operations provide a unique opportunity to explore human behavior while disrupting a focal cortical area via focal electrical stimulation. We used a novel paradigm of individualized direct cortical stimulation to examine the association between creative thinking and the DN. Preoperative resting-state fMRI was used to map the DN in individual patients. A cortical area identified as a DN node (study) or outside the DN (controls) was stimulated while the participants performed an alternate-uses-task (AUT). This task measures divergent thinking through the number and originality of different uses provided for an everyday object. Baseline AUT performance in the operating room was positively correlated with DN integrity. Direct cortical stimulation at the DN node resulted in decreased ability to produce alternate uses, but not in the originality of uses produced. Stimulation in areas that when used as network seed regions produced a network similar to the canonical DN was associated with reduction of creative fluency. Stimulation of areas that did not produce a default-like network (controls) did not alter creative thinking. This is the first study to causally link the DN and creative thinking.","https://www.nature.com/articles/s41380-021-01403-8"
"A Scoping Review of Music and the Default Mode Network: Insights into Creativity and Flow","E Hodges, C Limb","2025","Taylor & Francis","… relationship between the default mode network (DMN) and different modes of generative
creativity. In particular, it surveys the connection between the DMN and musical creativity, as …","https://www.tandfonline.com/doi/abs/10.1080/10400419.2025.2547196"
