"title","authors","year","publisher","abstract","url"
"Psychedelic cognition—the unreached frontier of psychedelic science","M Bălăeţ","2022","frontiersin.org","Psychedelic compounds hold the promise of changing the face of neuroscience and psychiatry as we know it. There have been numerous proposals to use them to t...","https://www.frontiersin.org/articles/10.3389/fnins.2022.832375/full"
"Spontaneous and deliberate creative cognition during and after psilocybin exposure","NL Mason, KPC Kuypers, JT Reckweg, F Müller…","2021","Nature","Creativity is an essential cognitive ability linked to all areas of our everyday functioning. Thus, finding a way to enhance it is of broad interest. A large number of anecdotal reports suggest that the consumption of psychedelic drugs can enhance creative thinking; however, scientific evidence is lacking. Following a double-blind, placebo-controlled, parallel-group design, we demonstrated that psilocybin (0.17 mg/kg) induced a time- and construct-related differentiation of effects on creative thinking. Acutely, psilocybin increased ratings of (spontaneous) creative insights, while decreasing (deliberate) task-based creativity. Seven days after psilocybin, number of novel ideas increased. Furthermore, we utilized an ultrahigh field multimodal brain imaging approach, and found that acute and persisting effects were predicted by within- and between-network connectivity of the default mode network. Findings add some support to historical claims that psychedelics can influence aspects of the creative process, potentially indicating them as a tool to investigate creativity and subsequent underlying neural mechanisms. Trial NL6007; psilocybin as a tool for enhanced cognitive flexibility; https://www.trialregister.nl/trial/6007.","https://www.nature.com/articles/s41398-021-01335-5"
"The costs and benefits of psychedelics on cognition and mood","C Sayalı, FS Barrett","2023","cell.com","… In terms of direct empirical evidence of psychedelic effects on creative cognition, the field
is still in its infancy. However, a recent review of the literature 122 provides evidence from the …","https://www.cell.com/neuron/fulltext/S0896-6273(22)01152-7"
"Psychedelics as potential catalysts of scientific creativity and insight","S Gandy, V Bonnelle, E Jacobs…","2022","journals.sagepub.com","… Research suggests that psychedelics can alter aspects of cognition and subjective experience
that may modulate some aspects of creative thinking rather than playing a generalised …","https://journals.sagepub.com/doi/abs/10.1177/20503245221097649"
"[HTML] Updating the dynamic framework of thought: Creativity and psychedelics","M Girn, C Mills, L Roseman, RL Carhart-Harris…","2020","Elsevier/ScienceDirect","… of cognition that involves movement between the dissociable stages of creative generation
and creative … the dynamic nature of creative thought, both within and between the stages of …","https://www.sciencedirect.com/science/article/pii/S1053811920302135"
"A predictive coding approach to psychedelic virtual-induced hallucinations and creative cognition in aging","G Magni, C Tuena, G Riva","2023","frontiersin.org","A predictive coding approach to psychedelic virtual-induced hallucinations and creative cognition in aging","https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2023.1219052/full"
"The transformational power of psychedelics: catalysts for creativity, consciousness, and mental health","X Du, J Liu, X Wang","2025","Nature","Psychedelics, such as psilocybin, lysergic acid diethylamide (LSD), ketamine, and N,N-dimethyltryptamine (DMT), have captured the attention of scientists, artists, and seekers alike for their profound ability to alter consciousness and inspire creativity. The concept of “creation” encompasses multiple interpretations—ranging from generating novel ideas to fostering personal transformation. This perspective explores how psychedelics interact with the concept of creation, examining their role in enhancing artistic inspiration, facilitating spiritual experiences, and driving therapeutic breakthroughs in mental health treatment. By integrating findings from neurobiological research, clinical applications, and cultural analysis, we offer a holistic view of how psychedelics may catalyze innovative modes of thinking and awaken the mind’s creative and transformative potential. As these substances gain prominence as tools for reshaping our understanding of consciousness and psychological healing, their broader integration into society requires careful consideration of legal complexities, ethical responsibilities, and cultural contexts to ensure their use is evidence-based, respectful, and responsibly guided.","https://www.nature.com/articles/s41380-025-03291-8"
"LSD and creativity: Increased novelty and symbolic thinking, decreased utility and convergent thinking","I Wießner, M Falchi, LO Maia…","2022","journals.sagepub.com","… influence creative cognition and behaviour pointing to a shift of cognitive resources ‘away …
findings suggest that psychedelics may not merely disrupt cognitive-behavioural processes ‘…","https://journals.sagepub.com/doi/abs/10.1177/02698811211069113"
"A dose of creativity: An integrative review of the effects of psychedelics on creativity","MÂLRO Costa","2020","search.proquest.com","Explore millions of resources from scholarly journals, books, newspapers, videos and more, on the ProQuest Platform.","https://search.proquest.com/openview/24e4aba08aaadfcffd272a40ee673288/1?pq-origsite=gscholar&cbl=2026366&diss=y"
"Psilocybin's effects on cognition and creativity: A scoping review","JN Bonnieux, B VanderZwaag…","2023","journals.sagepub.com","… , cognition remains understudied in the field of psychedelics; … exploration of cognitive and
creative outcomes following … measures of the cognitive and creative processes most affected in …","https://journals.sagepub.com/doi/abs/10.1177/02698811231179801"
