"title","authors","year","publisher","abstract","url"
"Chapter 1. Neural-Symbolic Learning and Reasoning: A Survey and Interpretation 1","TR Besold, S Bader, H Bowman…","2021","ebooks.iospress.nl","The study and understanding of human behaviour is relevant to computer science, artificial intelligence, neural computation, cognitive science, philosophy, psychology, and several other areas. Presupposing cognition as basis of behaviour, among the most prominent tools in the modelling of behaviour are computational-logic systems, connectionist models of cognition, and models of uncertainty. Recent studies in cognitive science, artificial intelligence, and psychology have produced a number of cognitive models of reasoning, learning, and language that are underpinned by computation. In addition, efforts in computer science research have led to the development of cognitive computational systems integrating machine learning and automated reasoning. Such systems have shown promise in a range of applications, including computational biology, fault diagnosis, training and assessment in simulators, and software verification. This joint survey reviews the personal ideas and views of several researchers on neural-symbolic learning and reasoning. The article is organised in three parts: Firstly, we frame the scope and goals of neural-symbolic computation and have a look at the theoretical foundations. We then proceed to describe the realisations of neural-symbolic computation, systems, and applications. Finally we present the challenges facing the area and avenues for further research.","https://ebooks.iospress.nl/volumearticle/58841"
"Combining neural networks and symbolic inference in a hybrid cognitive architecture","O Sychev","2021","Elsevier/ScienceDirect","… new creative … with creative new ideas mostly can point to a particular reason why they think
it is wrong. So we can assume that one of the primary functions of human symbolic reasoning …","https://www.sciencedirect.com/science/article/pii/S1877050921013405"
"Modeling cognitive processes within a creative problem-solving task: from symbolic to neuro-symbolic approaches in computational learning sciences","C Mercier","2024","theses.hal.science","Integrating transversal skills such as creativity, problem solving and computational thinking, into the primary and secondary curricula is a key challenge in today’s educational field. We postulate that teaching and assessing transversal competencies could benefit from a better understanding of the learners’ behaviors in specific activities that require these competencies. To this end, computational learning science is an emerging field that requires the close collaboration of computational neuroscience and educational sciences to enable the assessment of learning processes. We focus on a creative problem-solving task in which the subject is engaged into building a “vehicle” by combining modular robotic cubes. As part of an exploratory research action, we propose several approaches based on symbolic to neuro-symbolic formalisms, in order to specify such a task and model the behavior and underlying cognitive processes of a subject engaged in this task. Despite being at a very preliminary stage, such a formalization seems promising to better understand complex mechanisms involved in creative problem solving at several levels: (i) the specification of the problem and the observables of interest to collect during the task; (ii) the cognitive representation of the problem space, depending on prior knowledge and affordance discovery, allowing to generate creative solution trajectories; (iii) an implementation of reasoning mechanisms within a neuronal substrate.","https://theses.hal.science/tel-04678913/"
"Creativity of ai: Automatic symbolic option discovery for facilitating deep reinforcement learning","M Jin, Z Ma, K Jin, HH Zhuo, C Chen…","2022","AAAI","… It is noted that the inherent symbolic propositions of our symbolic option provide better
interpretability compared to those approaches based on black-box neural networks. In terms of …","https://ojs.aaai.org/index.php/AAAI/article/view/20663"
"Neuro-symbolic approaches in artificial intelligence","P Hitzler, A Eberhart, M Ebrahimi…","2022","academic.oup.com","… Neuro-symbolic artificial intelligence refers to a field of … on artificial neural networks, such as
deep learning, with symbolic … AI subfield of knowledge representation and reasoning. Neuro-…","https://academic.oup.com/nsr/article-abstract/9/6/nwac035/6542460"
"Towards bridging the neuro-symbolic gap: Deep deductive reasoners","M Ebrahimi, A Eberhart, F Bianchi, P Hitzler","2021","Springer","Symbolic knowledge representation and reasoning and deep learning are fundamentally different approaches to artificial intelligence with complementary capabilities. The former are transparent and data-efficient, but they are sensitive to noise and cannot be applied to non-symbolic domains where the data is ambiguous. The latter can learn complex tasks from examples, are robust to noise, but are black boxes; require large amounts of –not necessarily easily obtained– data, and are slow to learn and prone to adversarial examples. Either paradigm excels at certain types of problems where the other paradigm performs poorly. In order to develop stronger AI systems, integrated neuro-symbolic systems that combine artificial neural networks and symbolic reasoning are being sought. In this context, one of the fundamental open problems is how to perform logic-based deductive reasoning over knowledge bases by means of trainable artificial neural networks. This paper provides a brief summary of the authors’ recent efforts to bridge the neural and symbolic divide in the context of deep deductive reasoners. Throughout the paper we will discuss strengths and limitations of models in term of accuracy, scalability, transferability, generalizabiliy, speed, and interpretability, and finally, will talk about possible modifications to enhance desirable capabilities. More specifically, in terms of architectures, we are looking at Memory-augmented networks, Logic Tensor Networks, and compositions of LSTM models to explore their capabilities and limitations in conducting deductive reasoning. We are applying these models on Resource Description Framework (RDF), first-order logic, and the description logic \(\mathcal {E}{\mathscr{L}}^{+}\) respectively.","https://link.springer.com/article/10.1007/s10489-020-02165-6"
"[PDF] Learning Where and When to Reason in Neuro-Symbolic Inference.","C Cornelio, J Stuehmer, SX Hu, TM Hospedales","2023","cs.ox.ac.uk","… neural networks is a highly desirable capability, as it instills confidence in AI by ensuring that
neural network … We introduce a new neuro-symbolic integration method with a novel neural…","https://www.cs.ox.ac.uk/isg/conferences/tmp-proceedings/NeSy2023/paper35.pdf"
"Symbolic behaviour in artificial intelligence","A Santoro, A Lampinen, K Mathewson…","2021","arXiv","The ability to use symbols is the pinnacle of human intelligence, but has yet to be fully replicated in machines. Here we argue that the path towards symbolically fluent artificial intelligence (AI) begins with a reinterpretation of what symbols are, how they come to exist, and how a system behaves when it uses them. We begin by offering an interpretation of symbols as entities whose meaning is established by convention. But crucially, something is a symbol only for those who demonstrably and actively participate in this convention. We then outline how this interpretation thematically unifies the behavioural traits humans exhibit when they use symbols. This motivates our proposal that the field place a greater emphasis on symbolic behaviour rather than particular computational mechanisms inspired by more restrictive interpretations of symbols. Finally, we suggest that AI research explore social and cultural engagement as a tool to develop the cognitive machinery necessary for symbolic behaviour to emerge. This approach will allow for AI to interpret something as symbolic on its own rather than simply manipulate things that are only symbols to human onlookers, and thus will ultimately lead to AI with more human-like symbolic fluency.","https://arxiv.org/abs/2102.03406"
"Creative problem solving in artificially intelligent agents: A survey and framework","E Gizzi, L Nair, S Chernova, J Sinapov","2022","jair.org","… Apart from representing tools and structures, neural networks have also been successfully
… , and is applied to a hybrid symbolic and non-symbolic Logic Geometric Program (LGP) to …","https://www.jair.org/index.php/jair/article/view/13864"
"Integrating deep learning with symbolic reasoning in tinyllama for accurate information retrieval","X Xiong, M Zheng","2024","researchsquare.com","This study presents a novel approach to enhancing information retrieval capabilities in Large Language Models (LLMs) by integrating deep learning with symbolic reasoning, specifically in the TinyLlama model. The research addresses the inherent limitations of LLMs in processing contextually com...","https://www.researchsquare.com/article/rs-3883562/latest"
