title,authors,url,Final-Decision,Final-Comment,source
Multimodal creativity assessments following acute and sustained microdosing of lysergic acid diethylamide,Robin J. Murphy; Rachael L. Sumner; Kate Godfrey; Acima Mabidikama; Reece P. Roberts; Frederick Sundram; Suresh Muthukumaraswamy,https://pmc.ncbi.nlm.nih.gov/articles/PMC11775047,Accept,Majority vote (3/3 Accept),PubMed
What fMRI studies say about the nature of the psychedelic effect: a scoping review,Michal Beneš; Tomáš Páleníček; Jiří Horáček,https://pmc.ncbi.nlm.nih.gov/articles/PMC12259628,Accept,Majority vote (3/3 Accept),PubMed
"Me, myself, bye: regional alterations in glutamate and the experience of ego dissolution with psilocybin",N. L. Mason; K. P. C. Kuypers; F. Müller; J. Reckweg; D. H. Y. Tse; S. W. Toennes; N. R. P. W. Hutten; J. F. A. Jansen; P. Stiers; A. Feilding; J. G. Ramaekers,https://pmc.ncbi.nlm.nih.gov/articles/PMC7547711,Accept,Tie-breaker: Foundational - psychedelic neurochemistry (ego dissolution) underlies cognitive flexibility mechanisms,PubMed
Time-on-task and instructions help humans to keep up with AI: replication and extension of a comparison of creative performances,Astrid Carolus; Martin J. Koch; Shuyan Feng,https://pmc.ncbi.nlm.nih.gov/articles/PMC12181282,Accept,Majority vote (3/3 Accept),PubMed
Neurosymbolic AI as an antithesis to scaling laws,Alvaro Velasquez; Neel Bhatt; Ufuk Topcu; Zhangyang Wang; Katia Sycara; Simon Stepputtis; Sandeep Neema; Gautam Vallabha,https://pmc.ncbi.nlm.nih.gov/articles/PMC12084822,Accept,Majority vote (2/3 Accept),PubMed
Reduced Precision Underwrites Ego Dissolution and Therapeutic Outcomes Under Psychedelics,Devon Stoliker; Gary F. Egan; Adeel Razi,https://pmc.ncbi.nlm.nih.gov/articles/PMC8968396,Accept,Majority vote (2/3 Accept),PubMed
The Effects of Tryptamine Psychedelics in the Brain: A meta-Analysis of Functional and Review of Molecular Imaging Studies,João Castelhano; Gisela Lima; Marta Teixeira; Carla Soares; Marta Pais; Miguel Castelo-Branco,https://pmc.ncbi.nlm.nih.gov/articles/PMC8511767,Accept,Tie-breaker: Foundational - neuroimaging meta-analysis provides essential background on psychedelic brain effects,PubMed
Aesthetic quality of psychedelic experience is linked to insight and psychological outcomes,Jake F. Hooper; Emily L. Gyongyosi; Kent E. Hutchison; Raeghan L. Mueller,https://pmc.ncbi.nlm.nih.gov/articles/PMC12119600,Accept,"Tie-breaker: Foundational - links psychedelic aesthetics to insight, relevant to creative cognition",PubMed
"The paradox of creativity in generative AI: high performance, human-like bias, and limited differential evaluation",Joy Desdevises,https://pmc.ncbi.nlm.nih.gov/articles/PMC12369561,Accept,Majority vote (2/3 Accept),PubMed
Adaptive Decision‐Making “Fast” and “Slow”: A Model of Creative Thinking,Radwa Khalil; Martin Brüne,https://pmc.ncbi.nlm.nih.gov/articles/PMC11892090,Accept,Majority vote (3/3 Accept),PubMed
